DATE,BALL ONE,BALL TWO,BALL THREE,BALL FOUR,BALL FIVE,BONUS
2020-09-15,3,18,32,40,46,7
2020-09-11,1,4,10,12,49,18
2020-09-08,12,13,14,36,50,6
2020-09-04,2,3,11,12,43,13
2020-09-01,16,21,22,36,39,5
2020-08-28,8,10,17,44,45,12
2020-08-25,7,20,32,34,48,1
2020-08-21,13,32,33,40,41,1
2020-08-18,6,22,30,39,49,2
2020-08-14,10,11,16,25,30,1
2020-08-11,27,29,39,40,42,6
2020-08-07,11,30,42,45,48,12
2020-08-04,4,28,34,38,47,16
2020-07-31,6,18,30,46,48,11
2020-07-28,3,28,30,38,40,8
2020-07-24,4,6,11,27,34,10
2020-07-21,17,20,22,32,41,3
2020-07-17,12,15,24,30,38,6
2020-07-14,20,21,28,48,49,3
2020-07-10,11,16,44,46,50,1
2020-07-07,2,7,13,20,45,18
2020-07-03,2,7,15,25,41,1
2020-06-30,2,11,27,36,39,3
2020-06-26,11,20,21,34,50,7
2020-06-23,2,7,16,36,47,18
2020-06-19,21,28,29,33,48,7
2020-06-16,4,26,27,29,41,15
2020-06-12,9,27,38,43,48,15
2020-06-09,5,37,43,49,50,3
2020-06-05,14,23,28,40,48,3
2020-06-02,5,15,29,41,46,14
2020-05-29,4,27,30,34,45,20
2020-05-26,15,25,34,39,42,4
2020-05-22,9,10,24,41,45,15
2020-05-19,9,15,19,36,44,10
2020-05-15,5,7,13,19,47,4
2020-05-12,6,22,34,44,45,11
2020-05-08,12,21,30,35,45,18
2020-05-05,6,22,41,46,49,3
2020-05-01,12,20,43,48,49,6
2020-04-28,6,12,32,36,45,4
2020-04-24,10,12,22,42,50,18
2020-04-21,8,13,21,46,50,13
2020-04-17,16,19,20,23,25,10
2020-04-14,6,11,25,31,46,9
2020-04-10,7,14,22,24,41,16
2020-04-07,4,13,32,34,42,9
2020-09-25,2,17,18,27,37,4
2020-09-22,3,10,28,31,41,7
2020-09-18,8,19,24,29,44,8
2020-09-15,3,18,32,40,46,7
2020-09-11,1,4,10,12,49,18
2020-09-08,12,13,14,36,50,6
2020-09-04,2,3,11,12,43,13
2020-09-01,16,21,22,36,39,5
2020-08-28,8,10,17,44,45,12
2020-08-25,7,20,32,34,48,1
2020-08-21,13,32,33,40,41,1
2020-08-18,6,22,30,39,49,2
2020-08-14,10,11,16,25,30,1
2020-08-11,27,29,39,40,42,6
2020-08-07,11,30,42,45,48,12
2020-08-04,4,28,34,38,47,16
2020-07-31,6,18,30,46,48,11
2020-07-28,3,28,30,38,40,8
2020-07-24,4,6,11,27,34,10
2020-07-21,17,20,22,32,41,3
2020-07-17,12,15,24,30,38,6
2020-07-14,20,21,28,48,49,3
2020-07-10,11,16,44,46,50,1
2020-07-07,2,7,13,20,45,18
2020-07-03,2,7,15,25,41,1
2020-06-30,2,11,27,36,39,3
2020-06-26,11,20,21,34,50,7
2020-06-23,2,7,16,36,47,18
2020-06-19,21,28,29,33,48,7
2020-06-16,4,26,27,29,41,15
2020-06-12,9,27,38,43,48,15
2020-06-09,5,37,43,49,50,3
2020-06-05,14,23,28,40,48,3
2020-06-02,5,15,29,41,46,14
2020-05-29,4,27,30,34,45,20
2020-05-26,15,25,34,39,42,4
2020-05-22,9,10,24,41,45,15
2020-05-19,9,15,19,36,44,10
2020-05-15,5,7,13,19,47,4
2020-05-12,6,22,34,44,45,11
2020-05-08,12,21,30,35,45,18
2020-05-05,6,22,41,46,49,3
2020-05-01,12,20,43,48,49,6
2020-04-28,6,12,32,36,45,4
2020-04-24,10,12,22,42,50,18
2020-04-21,8,13,21,46,50,13
2020-04-17,16,19,20,23,25,10
2020-04-14,6,11,25,31,46,9
2020-04-10,7,14,22,24,41,16
2020-04-07,4,13,32,34,42,9
2020-09-25,2,17,18,27,37,4
2020-09-22,3,10,28,31,41,7
2020-09-18,8,19,24,29,44,8
2020-09-15,3,18,32,40,46,7
2020-09-11,1,4,10,12,49,18
2020-09-08,12,13,14,36,50,6
2020-09-04,2,3,11,12,43,13
2020-09-01,16,21,22,36,39,5
2020-08-28,8,10,17,44,45,12
2020-08-25,7,20,32,34,48,1
2020-08-21,13,32,33,40,41,1
2020-08-18,6,22,30,39,49,2
2020-08-14,10,11,16,25,30,1
2020-08-11,27,29,39,40,42,6
2020-08-07,11,30,42,45,48,12
2020-08-04,4,28,34,38,47,16
2020-07-31,6,18,30,46,48,11
2020-07-28,3,28,30,38,40,8
2020-07-24,4,6,11,27,34,10
2020-07-21,17,20,22,32,41,3
2020-07-17,12,15,24,30,38,6
2020-07-14,20,21,28,48,49,3
2020-07-10,11,16,44,46,50,1
2020-07-07,2,7,13,20,45,18
2020-07-03,2,7,15,25,41,1
2020-06-30,2,11,27,36,39,3
2020-06-26,11,20,21,34,50,7
2020-06-23,2,7,16,36,47,18
2020-06-19,21,28,29,33,48,7
2020-06-16,4,26,27,29,41,15
2020-06-12,9,27,38,43,48,15
2020-06-09,5,37,43,49,50,3
2020-06-05,14,23,28,40,48,3
2020-06-02,5,15,29,41,46,14
2020-05-29,4,27,30,34,45,20
2020-05-26,15,25,34,39,42,4
2020-05-22,9,10,24,41,45,15
2020-05-19,9,15,19,36,44,10
2020-05-15,5,7,13,19,47,4
2020-05-12,6,22,34,44,45,11
2020-05-08,12,21,30,35,45,18
2020-05-05,6,22,41,46,49,3
2020-05-01,12,20,43,48,49,6
2020-04-28,6,12,32,36,45,4
2020-04-24,10,12,22,42,50,18
2020-04-21,8,13,21,46,50,13
2020-04-17,16,19,20,23,25,10
2020-04-14,6,11,25,31,46,9
2020-04-10,7,14,22,24,41,16
2020-04-07,4,13,32,34,42,9
2020-09-25,2,17,18,27,37,4
2020-09-22,3,10,28,31,41,7
2020-09-18,8,19,24,29,44,8
2020-09-15,3,18,32,40,46,7
2020-09-11,1,4,10,12,49,18
2020-09-08,12,13,14,36,50,6
2020-09-04,2,3,11,12,43,13
2020-09-01,16,21,22,36,39,5
2020-08-28,8,10,17,44,45,12
2020-08-25,7,20,32,34,48,1
2020-08-21,13,32,33,40,41,1
2020-08-18,6,22,30,39,49,2
2020-08-14,10,11,16,25,30,1
2020-08-11,27,29,39,40,42,6
2020-08-07,11,30,42,45,48,12
2020-08-04,4,28,34,38,47,16
2020-07-31,6,18,30,46,48,11
2020-07-28,3,28,30,38,40,8
2020-07-24,4,6,11,27,34,10
2020-07-21,17,20,22,32,41,3
2020-07-17,12,15,24,30,38,6
2020-07-14,20,21,28,48,49,3
2020-07-10,11,16,44,46,50,1
2020-07-07,2,7,13,20,45,18
2020-07-03,2,7,15,25,41,1
2020-06-30,2,11,27,36,39,3
2020-06-26,11,20,21,34,50,7
2020-06-23,2,7,16,36,47,18
2020-06-19,21,28,29,33,48,7
2020-06-16,4,26,27,29,41,15
2020-06-12,9,27,38,43,48,15
2020-06-09,5,37,43,49,50,3
2020-06-05,14,23,28,40,48,3
2020-06-02,5,15,29,41,46,14
2020-05-29,4,27,30,34,45,20
2020-05-26,15,25,34,39,42,4
2020-05-22,9,10,24,41,45,15
2020-05-19,9,15,19,36,44,10
2020-05-15,5,7,13,19,47,4
2020-05-12,6,22,34,44,45,11
2020-05-08,12,21,30,35,45,18
2020-05-05,6,22,41,46,49,3
2020-05-01,12,20,43,48,49,6
2020-04-28,6,12,32,36,45,4
2020-04-24,10,12,22,42,50,18
2020-04-21,8,13,21,46,50,13
2020-04-17,16,19,20,23,25,10
2020-04-14,6,11,25,31,46,9
2020-04-10,7,14,22,24,41,16
2020-04-07,4,13,32,34,42,9
2020-04-03,9,10,29,32,45,9
2020-03-31,14,20,28,43,49,5
2020-03-27,3,8,18,38,45,3
2020-03-24,4,12,41,45,46,5
2020-03-20,4,9,16,21,36,14
2020-03-17,16,29,34,38,49,14
2020-03-13,5,6,12,22,50,11
2020-03-10,6,8,24,25,50,10
2020-03-06,6,23,26,28,47,6
2020-03-03,11,17,18,27,44,8
2020-02-28,1,31,37,49,50,2
2020-02-25,4,10,17,26,31,11
2020-02-21,4,18,30,34,36,20
2020-02-18,14,17,20,36,49,2
2020-02-14,2,19,40,49,50,6
2020-02-11,9,22,40,43,46,1
2020-02-07,2,4,29,38,47,1
2020-02-04,3,15,23,37,45,18
2020-01-31,11,14,18,29,34,15
2020-01-28,14,18,31,36,49,9
2020-01-24,5,11,26,48,49,12
2020-01-21,14,18,32,42,49,17
2020-01-17,7,8,18,26,31,16
2020-01-14,9,10,11,32,43,15
2020-01-10,23,25,28,30,40,13
2020-01-07,4,8,18,35,49,10
2020-01-03,8,9,18,43,50,12
2019-12-31,22,31,44,49,50,8
2019-12-27,4,13,34,36,38,4
2019-12-24,14,18,29,41,46,6
2019-12-20,8,10,22,36,40,20
2019-12-17,15,27,33,38,48,1
2019-12-13,1,9,13,25,34,10
2019-12-10,18,21,24,40,50,17
2019-12-06,12,19,33,34,49,8
2019-12-03,5,6,15,23,45,6
2019-11-29,6,11,21,25,49,12
2019-11-26,2,8,11,13,32,3
2019-11-22,5,17,18,20,26,7
2019-11-19,3,4,16,43,44,10
2019-11-15,13,15,31,37,49,13
2019-11-12,3,5,10,11,25,10
2019-11-08,5,18,27,37,45,12
2019-11-05,4,7,18,27,37,8
2019-11-01,13,25,29,43,47,12
2019-10-29,8,29,38,41,50,2
2019-10-25,2,21,29,37,49,9
2019-10-22,3,22,31,35,48,16
2019-10-18,15,21,31,34,44,2
2019-10-15,10,34,36,39,50,6
2020-04-03,9,10,29,32,45,9
2020-03-31,14,20,28,43,49,5
2020-03-27,3,8,18,38,45,3
2020-03-24,4,12,41,45,46,5
2020-03-20,4,9,16,21,36,14
2020-03-17,16,29,34,38,49,14
2020-03-13,5,6,12,22,50,11
2020-03-10,6,8,24,25,50,10
2020-03-06,6,23,26,28,47,6
2020-03-03,11,17,18,27,44,8
2020-02-28,1,31,37,49,50,2
2020-02-25,4,10,17,26,31,11
2020-02-21,4,18,30,34,36,20
2020-02-18,14,17,20,36,49,2
2020-02-14,2,19,40,49,50,6
2020-02-11,9,22,40,43,46,1
2020-02-07,2,4,29,38,47,1
2020-02-04,3,15,23,37,45,18
2020-01-31,11,14,18,29,34,15
2020-01-28,14,18,31,36,49,9
2020-01-24,5,11,26,48,49,12
2020-01-21,14,18,32,42,49,17
2020-01-17,7,8,18,26,31,16
2020-01-14,9,10,11,32,43,15
2020-01-10,23,25,28,30,40,13
2020-01-07,4,8,18,35,49,10
2020-01-03,8,9,18,43,50,12
2019-12-31,22,31,44,49,50,8
2019-12-27,4,13,34,36,38,4
2019-12-24,14,18,29,41,46,6
2019-12-20,8,10,22,36,40,20
2019-12-17,15,27,33,38,48,1
2019-12-13,1,9,13,25,34,10
2019-12-10,18,21,24,40,50,17
2019-12-06,12,19,33,34,49,8
2019-12-03,5,6,15,23,45,6
2019-11-29,6,11,21,25,49,12
2019-11-26,2,8,11,13,32,3
2019-11-22,5,17,18,20,26,7
2019-11-19,3,4,16,43,44,10
2019-11-15,13,15,31,37,49,13
2019-11-12,3,5,10,11,25,10
2019-11-08,5,18,27,37,45,12
2019-11-05,4,7,18,27,37,8
2019-11-01,13,25,29,43,47,12
2019-10-29,8,29,38,41,50,2
2019-10-25,2,21,29,37,49,9
2019-10-22,3,22,31,35,48,16
2019-10-18,15,21,31,34,44,2
2019-10-15,10,34,36,39,50,6
2020-04-03,9,10,29,32,45,9
2020-03-31,14,20,28,43,49,5
2020-03-27,3,8,18,38,45,3
2020-03-24,4,12,41,45,46,5
2020-03-20,4,9,16,21,36,14
2020-03-17,16,29,34,38,49,14
2020-03-13,5,6,12,22,50,11
2020-03-10,6,8,24,25,50,10
2020-03-06,6,23,26,28,47,6
2020-03-03,11,17,18,27,44,8
2020-02-28,1,31,37,49,50,2
2020-02-25,4,10,17,26,31,11
2020-02-21,4,18,30,34,36,20
2020-02-18,14,17,20,36,49,2
2020-02-14,2,19,40,49,50,6
2020-02-11,9,22,40,43,46,1
2020-02-07,2,4,29,38,47,1
2020-02-04,3,15,23,37,45,18
2020-01-31,11,14,18,29,34,15
2020-01-28,14,18,31,36,49,9
2020-01-24,5,11,26,48,49,12
2020-01-21,14,18,32,42,49,17
2020-01-17,7,8,18,26,31,16
2020-01-14,9,10,11,32,43,15
2020-01-10,23,25,28,30,40,13
2020-01-07,4,8,18,35,49,10
2020-01-03,8,9,18,43,50,12
2019-12-31,22,31,44,49,50,8
2019-12-27,4,13,34,36,38,4
2019-12-24,14,18,29,41,46,6
2019-12-20,8,10,22,36,40,20
2019-12-17,15,27,33,38,48,1
2019-12-13,1,9,13,25,34,10
2019-12-10,18,21,24,40,50,17
2019-12-06,12,19,33,34,49,8
2019-12-03,5,6,15,23,45,6
2019-11-29,6,11,21,25,49,12
2019-11-26,2,8,11,13,32,3
2019-11-22,5,17,18,20,26,7
2019-11-19,3,4,16,43,44,10
2019-11-15,13,15,31,37,49,13
2019-11-12,3,5,10,11,25,10
2019-11-08,5,18,27,37,45,12
2019-11-05,4,7,18,27,37,8
2019-11-01,13,25,29,43,47,12
2019-10-29,8,29,38,41,50,2
2019-10-25,2,21,29,37,49,9
2019-10-22,3,22,31,35,48,16
2019-10-18,15,21,31,34,44,2
2019-10-15,10,34,36,39,50,6
2020-04-03,9,10,29,32,45,9
2020-03-31,14,20,28,43,49,5
2020-03-27,3,8,18,38,45,3
2020-03-24,4,12,41,45,46,5
2020-03-20,4,9,16,21,36,14
2020-03-17,16,29,34,38,49,14
2020-03-13,5,6,12,22,50,11
2020-03-10,6,8,24,25,50,10
2020-03-06,6,23,26,28,47,6
2020-03-03,11,17,18,27,44,8
2020-02-28,1,31,37,49,50,2
2020-02-25,4,10,17,26,31,11
2020-02-21,4,18,30,34,36,20
2020-02-18,14,17,20,36,49,2
2020-02-14,2,19,40,49,50,6
2020-02-11,9,22,40,43,46,1
2020-02-07,2,4,29,38,47,1
2020-02-04,3,15,23,37,45,18
2020-01-31,11,14,18,29,34,15
2020-01-28,14,18,31,36,49,9
2020-01-24,5,11,26,48,49,12
2020-01-21,14,18,32,42,49,17
2020-01-17,7,8,18,26,31,16
2020-01-14,9,10,11,32,43,15
2020-01-10,23,25,28,30,40,13
2020-01-07,4,8,18,35,49,10
2020-01-03,8,9,18,43,50,12
2019-12-31,22,31,44,49,50,8
2019-12-27,4,13,34,36,38,4
2019-12-24,14,18,29,41,46,6
2019-12-20,8,10,22,36,40,20
2019-12-17,15,27,33,38,48,1
2019-12-13,1,9,13,25,34,10
2019-12-10,18,21,24,40,50,17
2019-12-06,12,19,33,34,49,8
2019-12-03,5,6,15,23,45,6
2019-11-29,6,11,21,25,49,12
2019-11-26,2,8,11,13,32,3
2019-11-22,5,17,18,20,26,7
2019-11-19,3,4,16,43,44,10
2019-11-15,13,15,31,37,49,13
2019-11-12,3,5,10,11,25,10
2019-11-08,5,18,27,37,45,12
2019-11-05,4,7,18,27,37,8
2019-11-01,13,25,29,43,47,12
2019-10-29,8,29,38,41,50,2
2019-10-25,2,21,29,37,49,9
2019-10-22,3,22,31,35,48,16
2019-10-18,15,21,31,34,44,2
2019-10-15,10,34,36,39,50,6
2020-04-03,9,10,29,32,45,9
2020-03-31,14,20,28,43,49,5
2020-03-27,3,8,18,38,45,3
2020-03-24,4,12,41,45,46,5
2020-03-20,4,9,16,21,36,14
2020-03-17,16,29,34,38,49,14
2020-03-13,5,6,12,22,50,11
2020-03-10,6,8,24,25,50,10
2020-03-06,6,23,26,28,47,6
2020-03-03,11,17,18,27,44,8
2020-02-28,1,31,37,49,50,2
2020-02-25,4,10,17,26,31,11
2020-02-21,4,18,30,34,36,20
2020-02-18,14,17,20,36,49,2
2020-02-14,2,19,40,49,50,6
2020-02-11,9,22,40,43,46,1
2020-02-07,2,4,29,38,47,1
2020-02-04,3,15,23,37,45,18
2020-01-31,11,14,18,29,34,15
2020-01-28,14,18,31,36,49,9
2020-01-24,5,11,26,48,49,12
2020-01-21,14,18,32,42,49,17
2020-01-17,7,8,18,26,31,16
2020-01-14,9,10,11,32,43,15
2020-01-10,23,25,28,30,40,13
2020-01-07,4,8,18,35,49,10
2020-01-03,8,9,18,43,50,12
2019-12-31,22,31,44,49,50,8
2019-12-27,4,13,34,36,38,4
2019-12-24,14,18,29,41,46,6
2019-12-20,8,10,22,36,40,20
2019-12-17,15,27,33,38,48,1
2019-12-13,1,9,13,25,34,10
2019-12-10,18,21,24,40,50,17
2019-12-06,12,19,33,34,49,8
2019-12-03,5,6,15,23,45,6
2019-11-29,6,11,21,25,49,12
2019-11-26,2,8,11,13,32,3
2019-11-22,5,17,18,20,26,7
2019-11-19,3,4,16,43,44,10
2019-11-15,13,15,31,37,49,13
2019-11-12,3,5,10,11,25,10
2019-11-08,5,18,27,37,45,12
2019-11-05,4,7,18,27,37,8
2019-11-01,13,25,29,43,47,12
2019-10-29,8,29,38,41,50,2
2019-10-25,2,21,29,37,49,9
2019-10-22,3,22,31,35,48,16
2019-10-18,15,21,31,34,44,2
2019-10-15,10,34,36,39,50,6
2019-10-11,15,16,17,26,43,10
2019-10-08,4,15,36,37,50,17
2019-10-04,4,5,23,29,31,17
2019-10-01,3,9,29,32,50,7
2019-09-27,14,16,18,22,39,15
2019-09-24,6,34,35,36,46,12
2019-09-20,9,16,22,29,35,6
2019-09-17,13,21,23,35,49,8
2019-09-13,8,9,10,11,42,9
2019-09-10,10,15,24,28,50,5
2019-09-06,2,20,25,40,49,20
2019-09-03,6,11,16,31,34,19
2019-08-30,8,14,36,40,47,2
2019-08-27,4,5,9,10,11,13
2019-08-23,8,9,15,20,24,14
2019-08-20,11,19,20,39,41,9
2019-08-16,3,10,14,31,41,9
2019-08-13,5,16,17,25,38,2
2019-08-09,2,18,34,37,48,3
2019-08-06,6,8,15,30,37,20
2019-08-02,5,31,45,46,47,5
2019-07-30,1,14,29,32,38,18
2019-07-26,4,17,19,43,48,7
2019-07-23,4,6,35,45,48,20
2019-07-19,3,12,13,20,41,16
2019-07-16,3,5,20,23,40,14
2019-07-12,29,35,46,47,48,17
2019-07-09,9,12,28,44,49,13
2019-07-05,28,37,39,46,47,12
2019-07-02,16,29,43,44,47,15
2019-06-28,3,13,16,33,41,10
2019-06-25,3,32,33,38,40,11
2019-06-21,8,15,28,46,49,8
2019-06-18,2,3,17,20,33,3
2019-06-14,24,26,27,35,39,15
2019-06-11,11,14,15,38,47,13
2019-06-07,4,11,21,22,45,14
2019-06-04,10,16,22,46,50,19
2019-05-31,5,21,25,27,47,12
2019-05-28,15,21,25,33,43,17
2019-05-24,3,25,29,38,39,7
2019-05-21,3,11,15,33,43,13
2019-05-17,9,19,29,31,46,17
2019-05-14,15,18,34,44,46,16
2019-05-10,14,22,23,39,43,15
2019-05-07,15,22,30,45,48,13
2019-05-03,13,18,20,35,36,11
2019-04-30,1,3,20,46,48,5
2019-04-26,13,16,19,43,49,13
2019-04-23,10,35,37,46,48,9
2019-10-11,15,16,17,26,43,10
2019-10-08,4,15,36,37,50,17
2019-10-04,4,5,23,29,31,17
2019-10-01,3,9,29,32,50,7
2019-09-27,14,16,18,22,39,15
2019-09-24,6,34,35,36,46,12
2019-09-20,9,16,22,29,35,6
2019-09-17,13,21,23,35,49,8
2019-09-13,8,9,10,11,42,9
2019-09-10,10,15,24,28,50,5
2019-09-06,2,20,25,40,49,20
2019-09-03,6,11,16,31,34,19
2019-08-30,8,14,36,40,47,2
2019-08-27,4,5,9,10,11,13
2019-08-23,8,9,15,20,24,14
2019-08-20,11,19,20,39,41,9
2019-08-16,3,10,14,31,41,9
2019-08-13,5,16,17,25,38,2
2019-08-09,2,18,34,37,48,3
2019-08-06,6,8,15,30,37,20
2019-08-02,5,31,45,46,47,5
2019-07-30,1,14,29,32,38,18
2019-07-26,4,17,19,43,48,7
2019-07-23,4,6,35,45,48,20
2019-07-19,3,12,13,20,41,16
2019-07-16,3,5,20,23,40,14
2019-07-12,29,35,46,47,48,17
2019-07-09,9,12,28,44,49,13
2019-07-05,28,37,39,46,47,12
2019-07-02,16,29,43,44,47,15
2019-06-28,3,13,16,33,41,10
2019-06-25,3,32,33,38,40,11
2019-06-21,8,15,28,46,49,8
2019-06-18,2,3,17,20,33,3
2019-06-14,24,26,27,35,39,15
2019-06-11,11,14,15,38,47,13
2019-06-07,4,11,21,22,45,14
2019-06-04,10,16,22,46,50,19
2019-05-31,5,21,25,27,47,12
2019-05-28,15,21,25,33,43,17
2019-05-24,3,25,29,38,39,7
2019-05-21,3,11,15,33,43,13
2019-05-17,9,19,29,31,46,17
2019-05-14,15,18,34,44,46,16
2019-05-10,14,22,23,39,43,15
2019-05-07,15,22,30,45,48,13
2019-05-03,13,18,20,35,36,11
2019-04-30,1,3,20,46,48,5
2019-04-26,13,16,19,43,49,13
2019-04-23,10,35,37,46,48,9
2019-10-11,15,16,17,26,43,10
2019-10-08,4,15,36,37,50,17
2019-10-04,4,5,23,29,31,17
2019-10-01,3,9,29,32,50,7
2019-09-27,14,16,18,22,39,15
2019-09-24,6,34,35,36,46,12
2019-09-20,9,16,22,29,35,6
2019-09-17,13,21,23,35,49,8
2019-09-13,8,9,10,11,42,9
2019-09-10,10,15,24,28,50,5
2019-09-06,2,20,25,40,49,20
2019-09-03,6,11,16,31,34,19
2019-08-30,8,14,36,40,47,2
2019-08-27,4,5,9,10,11,13
2019-08-23,8,9,15,20,24,14
2019-08-20,11,19,20,39,41,9
2019-08-16,3,10,14,31,41,9
2019-08-13,5,16,17,25,38,2
2019-08-09,2,18,34,37,48,3
2019-08-06,6,8,15,30,37,20
2019-08-02,5,31,45,46,47,5
2019-07-30,1,14,29,32,38,18
2019-07-26,4,17,19,43,48,7
2019-07-23,4,6,35,45,48,20
2019-07-19,3,12,13,20,41,16
2019-07-16,3,5,20,23,40,14
2019-07-12,29,35,46,47,48,17
2019-07-09,9,12,28,44,49,13
2019-07-05,28,37,39,46,47,12
2019-07-02,16,29,43,44,47,15
2019-06-28,3,13,16,33,41,10
2019-06-25,3,32,33,38,40,11
2019-06-21,8,15,28,46,49,8
2019-06-18,2,3,17,20,33,3
2019-06-14,24,26,27,35,39,15
2019-06-11,11,14,15,38,47,13
2019-06-07,4,11,21,22,45,14
2019-06-04,10,16,22,46,50,19
2019-05-31,5,21,25,27,47,12
2019-05-28,15,21,25,33,43,17
2019-05-24,3,25,29,38,39,7
2019-05-21,3,11,15,33,43,13
2019-05-17,9,19,29,31,46,17
2019-05-14,15,18,34,44,46,16
2019-05-10,14,22,23,39,43,15
2019-05-07,15,22,30,45,48,13
2019-05-03,13,18,20,35,36,11
2019-04-30,1,3,20,46,48,5
2019-04-26,13,16,19,43,49,13
2019-04-23,10,35,37,46,48,9
2019-10-11,15,16,17,26,43,10
2019-10-08,4,15,36,37,50,17
2019-10-04,4,5,23,29,31,17
2019-10-01,3,9,29,32,50,7
2019-09-27,14,16,18,22,39,15
2019-09-24,6,34,35,36,46,12
2019-09-20,9,16,22,29,35,6
2019-09-17,13,21,23,35,49,8
2019-09-13,8,9,10,11,42,9
2019-09-10,10,15,24,28,50,5
2019-09-06,2,20,25,40,49,20
2019-09-03,6,11,16,31,34,19
2019-08-30,8,14,36,40,47,2
2019-08-27,4,5,9,10,11,13
2019-08-23,8,9,15,20,24,14
2019-08-20,11,19,20,39,41,9
2019-08-16,3,10,14,31,41,9
2019-08-13,5,16,17,25,38,2
2019-08-09,2,18,34,37,48,3
2019-08-06,6,8,15,30,37,20
2019-08-02,5,31,45,46,47,5
2019-07-30,1,14,29,32,38,18
2019-07-26,4,17,19,43,48,7
2019-07-23,4,6,35,45,48,20
2019-07-19,3,12,13,20,41,16
2019-07-16,3,5,20,23,40,14
2019-07-12,29,35,46,47,48,17
2019-07-09,9,12,28,44,49,13
2019-07-05,28,37,39,46,47,12
2019-07-02,16,29,43,44,47,15
2019-06-28,3,13,16,33,41,10
2019-06-25,3,32,33,38,40,11
2019-06-21,8,15,28,46,49,8
2019-06-18,2,3,17,20,33,3
2019-06-14,24,26,27,35,39,15
2019-06-11,11,14,15,38,47,13
2019-06-07,4,11,21,22,45,14
2019-06-04,10,16,22,46,50,19
2019-05-31,5,21,25,27,47,12
2019-05-28,15,21,25,33,43,17
2019-05-24,3,25,29,38,39,7
2019-05-21,3,11,15,33,43,13
2019-05-17,9,19,29,31,46,17
2019-05-14,15,18,34,44,46,16
2019-05-10,14,22,23,39,43,15
2019-05-07,15,22,30,45,48,13
2019-05-03,13,18,20,35,36,11
2019-04-30,1,3,20,46,48,5
2019-04-26,13,16,19,43,49,13
2019-04-23,10,35,37,46,48,9
2019-10-11,15,16,17,26,43,10
2019-10-08,4,15,36,37,50,17
2019-10-04,4,5,23,29,31,17
2019-10-01,3,9,29,32,50,7
2019-09-27,14,16,18,22,39,15
2019-09-24,6,34,35,36,46,12
2019-09-20,9,16,22,29,35,6
2019-09-17,13,21,23,35,49,8
2019-09-13,8,9,10,11,42,9
2019-09-10,10,15,24,28,50,5
2019-09-06,2,20,25,40,49,20
2019-09-03,6,11,16,31,34,19
2019-08-30,8,14,36,40,47,2
2019-08-27,4,5,9,10,11,13
2019-08-23,8,9,15,20,24,14
2019-08-20,11,19,20,39,41,9
2019-08-16,3,10,14,31,41,9
2019-08-13,5,16,17,25,38,2
2019-08-09,2,18,34,37,48,3
2019-08-06,6,8,15,30,37,20
2019-08-02,5,31,45,46,47,5
2019-07-30,1,14,29,32,38,18
2019-07-26,4,17,19,43,48,7
2019-07-23,4,6,35,45,48,20
2019-07-19,3,12,13,20,41,16
2019-07-16,3,5,20,23,40,14
2019-07-12,29,35,46,47,48,17
2019-07-09,9,12,28,44,49,13
2019-07-05,28,37,39,46,47,12
2019-07-02,16,29,43,44,47,15
2019-06-28,3,13,16,33,41,10
2019-06-25,3,32,33,38,40,11
